timestamp_iso,download_mbps,upload_mbps,ping_ms
2025-08-30T19:58:26.388813+00:00,738.28,654.32,17.29
2025-08-30T19:59:48.439360+00:00,708.77,734.05,19.02
2025-08-30T20:05:12.465074+00:00,746.74,742.90,21.85
2025-08-30T20:06:34.807755+00:00,745.11,742.92,19.33
2025-08-30T20:37:51.650725+00:00,743.36,745.81,22.04
2025-08-30T20:39:14.137640+00:00,743.09,743.02,19.78
2025-08-30T20:40:36.345096+00:00,736.82,707.05,19.02
2025-08-30T20:41:58.319731+00:00,745.96,738.68,22.19
2025-08-30T20:43:20.476227+00:00,746.44,744.18,19.39
2025-08-30T20:44:42.770711+00:00,746.43,748.18,19.38
2025-08-30T20:46:04.769622+00:00,744.80,686.61,16.60
2025-08-30T20:47:26.732791+00:00,739.67,737.40,14.42
2025-08-30T20:48:48.686943+00:00,713.38,695.99,18.18
2025-08-30T20:50:10.661523+00:00,745.32,744.54,19.34
2025-08-30T20:51:32.759316+00:00,744.01,748.77,13.28
2025-08-30T20:52:54.630076+00:00,737.01,701.56,17.98
2025-08-30T20:54:16.761122+00:00,741.72,748.69,19.71
2025-08-30T20:55:38.762654+00:00,733.33,721.05,19.86
2025-08-30T20:57:00.518393+00:00,716.50,740.07,22.15
2025-08-30T20:58:22.347865+00:00,700.45,744.04,18.31
2025-08-30T20:59:44.223109+00:00,740.08,701.53,16.99
2025-08-30T21:01:05.846174+00:00,744.34,736.48,18.81
2025-08-30T21:02:27.644947+00:00,721.65,732.61,11.55
2025-08-30T21:03:49.430538+00:00,732.53,688.84,18.25
2025-08-30T21:05:11.565902+00:00,722.86,742.70,19.38
2025-08-30T21:06:33.740475+00:00,738.88,715.55,20.43
2025-08-30T21:07:55.793261+00:00,727.66,723.99,15.93
2025-08-30T21:09:18.048411+00:00,748.05,756.91,11.55
2025-08-30T21:10:39.911193+00:00,732.41,727.40,19.06
2025-08-30T21:12:01.927575+00:00,733.66,713.22,16.70
2025-08-30T21:13:23.977237+00:00,742.00,703.72,16.26
2025-08-30T21:14:45.966358+00:00,746.69,739.04,17.37
2025-08-30T21:16:07.801801+00:00,746.07,752.89,19.90
2025-08-30T21:17:29.942386+00:00,743.34,739.05,22.26
2025-08-30T21:18:51.986583+00:00,747.18,743.70,19.88
2025-08-30T21:20:13.760162+00:00,745.67,745.24,20.11
2025-08-30T21:21:35.671777+00:00,747.28,744.05,19.39
2025-08-30T21:22:57.584932+00:00,744.47,676.50,18.37
2025-08-30T21:54:14.662348+00:00,480.14,663.25,24.35
2025-08-30T21:55:37.092635+00:00,627.60,730.92,15.80
2025-08-30T21:56:58.800121+00:00,666.53,698.63,19.30
2025-08-30T21:58:20.545899+00:00,672.67,720.01,21.12
2025-08-30T21:59:42.393682+00:00,644.51,712.08,16.57
2025-08-30T22:01:03.987985+00:00,687.94,725.06,16.15
2025-08-30T22:02:25.643266+00:00,669.72,736.14,19.43
2025-08-30T22:03:47.387304+00:00,631.22,718.33,14.46
2025-08-30T22:05:08.862998+00:00,696.59,690.04,18.72
2025-08-30T22:06:30.447513+00:00,700.74,744.62,22.13
2025-08-30T22:07:52.211928+00:00,687.58,744.24,19.50
2025-08-30T22:09:13.840290+00:00,641.02,724.33,18.70
2025-08-30T22:10:35.366899+00:00,667.14,739.62,16.78
2025-08-30T22:11:57.072763+00:00,664.93,695.27,16.48
2025-08-30T22:13:18.669657+00:00,695.43,744.15,19.20
2025-08-30T22:14:40.286990+00:00,677.97,747.22,19.14
2025-08-30T22:16:01.974279+00:00,691.66,721.68,18.60
2025-08-30T22:17:23.488946+00:00,677.07,738.61,19.39
2025-08-30T22:18:45.106172+00:00,705.18,738.64,15.43
2025-08-30T22:20:06.672824+00:00,728.76,742.04,19.81
2025-08-30T22:21:28.533199+00:00,678.74,743.66,16.51
2025-08-30T22:22:50.097238+00:00,705.85,710.48,16.98
2025-08-30T22:50:25.740812+00:00,712.69,711.81,29.20
2025-08-30T22:51:47.934785+00:00,690.98,747.38,5.23
2025-08-30T22:53:09.650806+00:00,708.90,754.19,4.47
2025-08-30T22:54:31.332507+00:00,702.68,759.23,4.53
2025-08-30T22:55:52.846272+00:00,708.56,755.15,4.67
2025-08-30T22:57:14.474814+00:00,749.06,759.49,4.16
2025-08-30T22:58:36.043130+00:00,750.92,758.92,4.27
2025-08-30T22:59:57.585505+00:00,688.11,756.35,4.33
2025-08-30T23:05:20.808964+00:00,697.73,755.47,4.39
2025-08-30T23:06:42.656788+00:00,706.14,751.61,4.43
2025-08-30T23:08:04.200313+00:00,696.95,751.26,4.41
2025-08-30T23:09:25.817705+00:00,694.84,754.65,4.31
2025-08-30T23:10:47.381887+00:00,704.43,752.05,4.15
2025-08-30T23:12:10.028751+00:00,680.23,759.26,4.05
2025-08-30T23:13:31.616411+00:00,709.82,762.04,5.97
2025-08-30T23:14:53.068870+00:00,711.02,751.42,4.69
2025-08-30T23:16:14.699278+00:00,710.97,754.58,4.47
2025-08-30T23:17:36.360829+00:00,715.88,762.41,4.36
2025-08-30T23:18:57.936223+00:00,697.46,755.53,4.75
2025-08-30T23:20:19.686685+00:00,749.45,753.16,4.54
2025-08-30T23:21:41.523145+00:00,751.12,762.37,4.91
2025-08-30T23:23:03.348777+00:00,733.69,757.74,4.62
2025-08-30T23:24:25.143139+00:00,690.18,760.96,4.69
2025-08-30T23:25:46.845397+00:00,710.77,754.63,5.76
2025-08-31T00:50:40.722756+00:00,743.65,750.51,25.44
2025-08-31T00:52:02.895063+00:00,743.11,758.04,4.43
2025-08-31T00:53:24.585850+00:00,751.14,758.15,4.26
2025-08-31T00:54:46.528605+00:00,722.14,754.24,4.52
2025-08-31T00:56:08.422578+00:00,750.69,762.04,4.43
2025-08-31T00:57:29.946495+00:00,751.02,753.02,4.24
2025-08-31T00:58:51.720260+00:00,749.96,763.33,4.99
2025-08-31T01:05:15.336486+00:00,750.38,759.96,7.63
2025-08-31T01:06:36.920175+00:00,749.07,753.52,5.28
2025-08-31T01:07:58.836816+00:00,742.71,752.02,4.22
2025-08-31T01:09:20.384245+00:00,750.99,761.57,4.41
2025-08-31T01:10:42.128058+00:00,750.86,764.58,4.04
2025-08-31T01:12:04.063400+00:00,751.03,762.92,3.95
2025-08-31T01:13:25.621035+00:00,751.01,751.85,4.15
2025-08-31T01:14:47.181416+00:00,750.81,761.83,6.00
2025-08-31T01:16:08.856665+00:00,750.73,763.18,4.32
2025-08-31T01:17:30.273569+00:00,750.70,754.73,4.52
2025-08-31T01:18:51.868313+00:00,750.93,753.61,4.33
2025-08-31T01:20:13.484955+00:00,346.49,738.93,4.12
2025-08-31T02:27:35.118494+00:00,727.24,741.69,24.73
2025-08-31T02:28:57.074615+00:00,735.01,762.64,3.90
2025-08-31T02:30:18.121591+00:00,742.97,758.32,3.84
2025-08-31T02:31:39.088612+00:00,688.79,763.07,3.92
2025-08-31T02:33:00.927188+00:00,751.32,748.68,4.30
2025-08-31T02:34:21.968374+00:00,748.55,759.15,4.31
2025-08-31T02:35:43.076943+00:00,748.39,757.67,4.03
2025-08-31T02:37:04.192249+00:00,745.74,757.18,3.92
2025-08-31T02:38:25.306909+00:00,704.26,522.88,4.29
2025-08-31T02:39:46.332364+00:00,737.25,756.59,3.84
2025-08-31T02:41:07.445070+00:00,745.50,757.13,4.31
2025-08-31T02:42:28.696584+00:00,746.67,759.14,3.97
2025-08-31T02:43:49.713762+00:00,749.41,762.73,4.20
2025-08-31T02:45:10.856062+00:00,735.01,761.68,4.54
2025-08-31T02:46:31.866474+00:00,750.89,760.31,4.23
2025-08-31T02:47:52.939122+00:00,699.76,763.60,3.94
2025-08-31T02:49:14.326947+00:00,746.27,755.92,4.16
2025-08-31T02:50:35.406983+00:00,715.14,742.89,4.44
2025-08-31T02:51:56.700737+00:00,744.88,761.92,4.29
2025-08-31T02:53:17.759462+00:00,668.60,751.73,5.06
2025-08-31T02:54:38.958928+00:00,748.75,750.51,4.27
2025-08-31T02:56:00.115651+00:00,751.26,758.85,4.27
2025-08-31T03:27:28.841091+00:00,747.85,758.21,4.86
2025-08-31T03:28:50.147145+00:00,751.42,757.43,4.37
2025-08-31T03:31:12.275008+00:00,742.95,758.95,3.97
2025-08-31T03:32:33.524077+00:00,740.43,758.75,4.01
2025-08-31T03:33:54.544200+00:00,749.52,762.31,4.27
2025-08-31T03:35:15.625479+00:00,749.37,753.73,3.69
2025-08-31T03:36:36.748405+00:00,747.09,759.66,3.98
2025-08-31T03:37:57.890488+00:00,747.94,756.69,4.01
2025-08-31T03:39:18.971735+00:00,748.77,763.61,4.25
